 MA A 5 3 0 2020  3 26 22 17 58  7195.543  98.5333  337.191  -25.341  101.3586   0.00
 MB 9 3 0 0 2020  3 26 23 33 23  7195.595  98.7011  329.290  -25.340  101.3592   0.00
 MC B 7 3 0 2020  3 26 22 45 19  7195.624  98.7080  341.538  -25.340  101.3598   0.00
 15 5 0 0 0 2020  3 26 22  0 17  7180.518  98.7247  317.478  -25.259  101.0413  -1.78
 18 8 0 0 0 2020  3 26 22  9 30  7226.140  99.0541  345.355  -25.499  102.0034  -1.80
 19 C 6 0 0 2020  3 26 23 48 50  7226.486  99.1949  268.101  -25.500  102.0103  -1.98
 SR D 4 3 0 2020  3 26 22 32  0  7160.258  98.5403  110.937  -25.154  100.6151   0.00
